ID,Funcionario_ID,PDI_ID,Area,Lideranca,Data_Inicio,Data_Conclusao_Planejada,Data_Conclusao_Real,Status,Aderencia_Percentual,Evolucao_Competencias
1291,854,293,Produto,Líder 37,2024-07-15,2024-12-31,2024-12-31,Concluído,77.07,9.58
1292,855,258,Marketing,Líder 40,2023-08-22,2024-06-17,2024-08-07,Concluído,76.08,9.37
1293,857,28,Comercial,Líder 23,2024-03-20,2024-12-31,2024-12-19,Concluído,88.19,8.55
1294,858,252,Qualidade,Líder 39,2023-06-25,2024-06-19,2023-09-03,Concluído,89.73,9.58
1295,858,210,Qualidade,Líder 40,2024-08-19,2024-12-31,,Em Andamento,71.97,4.34
1296,859,36,Atendimento,Líder 26,2024-12-21,2024-12-31,2024-12-24,Concluído,82.09,8.37
1297,860,336,Marketing,Líder 13,2023-07-11,2024-06-05,,Cancelado,10.51,2.07
1298,860,276,Marketing,Líder 36,2023-04-05,2023-11-01,2023-08-24,Concluído,76.53,9.79
1299,862,255,Qualidade,Líder 44,2024-09-22,2024-12-31,2024-11-02,Concluído,84.66,8.06
1300,862,35,Qualidade,Líder 43,2024-10-09,2024-12-31,2024-10-29,Concluído,89.39,9.81
1301,863,323,Vendas,Líder 45,2023-04-02,2023-11-28,2023-11-01,Concluído,85.78,9.61
1302,863,30,Vendas,Líder 12,2024-02-29,2024-05-29,,Em Andamento,71.19,5.09
1303,865,249,Qualidade,Líder 35,2024-11-15,2024-12-31,2024-12-31,Concluído,70.51,6.99
1304,865,255,Qualidade,Líder 19,2024-10-10,2024-12-31,,Em Andamento,29.73,4.69
1305,865,475,Qualidade,Líder 8,2024-07-07,2024-12-31,2024-12-06,Concluído,92.84,8.29
1306,866,190,Marketing,Líder 50,2024-12-17,2024-12-31,,Em Andamento,34.33,7.98
1307,866,384,Marketing,Líder 35,2024-07-26,2024-12-31,2024-08-10,Concluído,85.28,8.95
1308,868,95,Financeiro,Líder 30,2024-09-26,2024-12-31,2024-11-10,Concluído,81.21,9.35
1309,869,474,Comercial,Líder 43,2024-08-15,2024-12-31,,Em Andamento,21.22,7.41
1310,869,383,Comercial,Líder 15,2024-04-28,2024-12-31,2024-07-29,Concluído,89.04,7.01
1311,869,479,Comercial,Líder 2,2024-08-06,2024-11-04,2024-09-10,Concluído,96.79,9.26
1312,870,143,Atendimento,Líder 22,2024-04-26,2024-12-22,,Cancelado,37.85,2.03
1313,871,252,Operações,Líder 26,2024-01-20,2024-07-18,,Em Andamento,26.53,5.64
1314,871,98,Operações,Líder 2,2022-05-13,2022-08-11,2022-09-19,Concluído,87.76,7.68
1315,871,421,Operações,Líder 13,2023-12-29,2024-10-24,,Cancelado,35.62,2.54
1316,872,87,Atendimento,Líder 44,2022-10-06,2023-09-01,2023-02-08,Concluído,79.53,9.11
1317,873,274,Suporte,Líder 2,2024-04-26,2024-08-24,2024-08-29,Concluído,81.88,6.76
1318,873,165,Suporte,Líder 19,2023-12-18,2024-09-13,2024-09-29,Concluído,86.14,9.04
1319,873,414,Suporte,Líder 17,2023-12-22,2024-04-20,2024-04-17,Concluído,74.42,6.42
1320,874,58,Qualidade,Líder 7,2024-08-21,2024-12-31,2024-10-12,Concluído,89.34,7.16
1321,877,269,Financeiro,Líder 4,2023-05-04,2023-12-30,2023-07-03,Concluído,91.93,9.8
1322,877,257,Financeiro,Líder 20,2023-07-10,2024-07-04,2023-11-06,Concluído,79.08,7.96
1323,880,91,Operações,Líder 45,2024-02-07,2024-07-06,2024-08-18,Concluído,90.87,7.42
1324,880,191,Operações,Líder 2,2023-02-25,2024-02-20,2023-07-15,Concluído,77.74,8.97
1325,880,120,Operações,Líder 21,2022-12-18,2023-12-13,2023-10-15,Concluído,70.18,6.17
1326,881,124,Qualidade,Líder 48,2024-02-14,2024-10-11,2024-07-12,Concluído,78.54,8.38
1327,881,355,Qualidade,Líder 50,2023-05-22,2024-04-16,2023-11-08,Concluído,81.13,7.31
1328,881,213,Qualidade,Líder 17,2024-08-02,2024-12-31,,Em Andamento,28.72,5.21
1329,884,248,Atendimento,Líder 21,2023-10-31,2024-04-28,2024-02-17,Concluído,99.88,8.46
1330,886,26,Marketing,Líder 12,2023-09-05,2024-03-03,2024-04-17,Concluído,97.23,6.68
1331,887,234,Qualidade,Líder 47,2024-11-25,2024-12-31,,Em Andamento,48.61,6.9
1332,887,177,Qualidade,Líder 29,2024-12-09,2024-12-31,,Em Andamento,32.15,4.08
1333,888,23,Gente & Gestão,Líder 17,2024-03-16,2024-07-14,2024-09-05,Concluído,86.19,6.29
1334,888,369,Gente & Gestão,Líder 14,2024-04-28,2024-09-25,2024-08-29,Concluído,84.76,7.57
1335,888,456,Gente & Gestão,Líder 13,2024-08-10,2024-12-31,2024-12-14,Concluído,73.92,9.91
1336,889,295,Marketing,Líder 24,2024-12-03,2024-12-31,,Em Andamento,28.48,7.83
1337,889,196,Marketing,Líder 5,2023-12-20,2024-06-17,2024-04-14,Concluído,91.69,6.14
1338,889,72,Marketing,Líder 31,2022-10-21,2023-07-18,2023-01-07,Concluído,74.16,9.0
1339,890,69,Produto,Líder 50,2023-10-09,2024-01-07,,Em Andamento,32.24,7.28
1340,890,443,Produto,Líder 43,2023-10-22,2024-02-19,,Em Andamento,26.99,5.37
1341,890,71,Produto,Líder 44,2024-03-18,2024-09-14,2024-05-13,Concluído,99.23,6.44
1342,891,258,Suporte,Líder 29,2024-04-02,2024-12-28,2024-12-21,Concluído,97.65,6.41
1343,891,225,Suporte,Líder 11,2023-12-16,2024-03-15,2024-01-07,Concluído,79.73,9.8
1344,894,256,Inovação,Líder 1,2024-02-07,2024-12-31,2024-10-02,Concluído,96.99,6.32
1345,894,108,Inovação,Líder 7,2023-11-06,2024-04-04,2024-04-04,Concluído,73.13,6.68
1346,895,206,Suporte,Líder 12,2024-02-09,2024-05-09,,Em Andamento,68.52,5.11
1347,895,436,Suporte,Líder 32,2024-12-21,2024-12-31,,Cancelado,37.57,3.44
1348,896,475,Atendimento,Líder 42,2024-05-21,2024-12-31,,Em Andamento,32.68,7.57
1349,896,82,Atendimento,Líder 49,2024-03-21,2024-12-31,2024-05-19,Concluído,88.61,8.77
1350,898,419,Tecnologia,Líder 8,2023-04-22,2024-03-17,,Em Andamento,48.81,5.67
1351,898,33,Tecnologia,Líder 31,2023-05-19,2023-10-16,2023-07-21,Concluído,74.62,9.65
1352,898,395,Tecnologia,Líder 41,2022-12-21,2023-05-20,2023-03-04,Concluído,90.75,9.38
1353,899,51,Financeiro,Líder 49,2024-09-24,2024-12-31,2024-09-28,Concluído,97.7,9.85
1354,900,175,Vendas,Líder 2,2024-11-09,2024-12-31,,Em Andamento,75.12,6.23
1355,900,177,Vendas,Líder 32,2024-12-26,2024-12-31,,Em Andamento,37.47,4.01
1356,900,474,Vendas,Líder 41,2024-02-14,2024-10-11,,Cancelado,4.54,2.09
1357,902,396,Financeiro,Líder 1,2024-05-14,2024-12-31,2024-09-09,Concluído,73.83,9.14
1358,902,91,Financeiro,Líder 50,2024-10-11,2024-12-31,2024-11-07,Concluído,93.15,6.67
1359,903,317,Suporte,Líder 50,2024-08-11,2024-12-31,2024-08-11,Concluído,91.81,7.17
1360,904,206,Qualidade,Líder 2,2024-11-22,2024-12-31,2024-12-31,Concluído,72.12,9.54
1361,904,296,Qualidade,Líder 43,2024-12-29,2024-12-31,2024-12-31,Concluído,90.32,8.36
1362,904,128,Qualidade,Líder 31,2024-08-01,2024-12-31,2024-09-18,Concluído,91.58,7.78
1363,905,382,Atendimento,Líder 26,2023-10-30,2024-10-24,2024-10-09,Concluído,80.81,9.22
1364,905,420,Atendimento,Líder 24,2023-09-11,2024-09-05,2024-06-23,Concluído,70.25,8.39
1365,907,366,Comercial,Líder 12,2023-02-05,2023-12-02,,Em Andamento,76.29,6.27
1366,907,460,Comercial,Líder 35,2023-07-10,2023-10-08,2023-07-16,Concluído,80.69,8.85
1367,908,10,Vendas,Líder 16,2024-11-07,2024-12-31,2024-12-31,Concluído,95.02,8.88
1368,908,328,Vendas,Líder 1,2024-11-11,2024-12-31,2024-12-21,Concluído,70.39,6.75
1369,909,347,Vendas,Líder 39,2024-11-21,2024-12-31,2024-11-22,Concluído,88.22,9.38
1370,909,122,Vendas,Líder 22,2024-09-04,2024-12-31,,Cancelado,16.91,2.4
1371,909,335,Vendas,Líder 33,2024-05-03,2024-10-30,2024-12-11,Concluído,75.71,8.28
1372,910,57,Suporte,Líder 2,2024-05-12,2024-12-31,2024-12-31,Concluído,76.43,9.03
1373,910,459,Suporte,Líder 34,2024-07-06,2024-12-31,,Em Andamento,61.1,7.15
1374,911,454,Produto,Líder 34,2024-09-17,2024-12-31,,Em Andamento,78.3,6.57
1375,911,127,Produto,Líder 35,2024-04-15,2024-12-31,2024-07-25,Concluído,73.83,9.49
1376,912,352,Comercial,Líder 12,2023-10-10,2024-10-04,,Em Andamento,56.08,7.63
1377,912,91,Comercial,Líder 49,2024-05-12,2024-12-31,2024-09-23,Concluído,73.85,8.65
1378,912,77,Comercial,Líder 12,2023-12-15,2024-11-09,,Em Andamento,57.13,7.75
1379,914,212,Gente & Gestão,Líder 7,2024-12-14,2024-12-31,2024-12-31,Concluído,92.3,8.17
1380,918,362,Qualidade,Líder 22,2024-11-01,2024-12-31,2024-12-03,Concluído,87.25,8.01
1381,918,230,Qualidade,Líder 6,2024-12-17,2024-12-31,2024-12-31,Concluído,72.0,6.2
1382,918,457,Qualidade,Líder 11,2024-12-19,2024-12-31,,Em Andamento,72.51,7.28
1383,920,255,Gente & Gestão,Líder 12,2024-09-24,2024-12-31,,Em Andamento,74.35,7.99
1384,920,30,Gente & Gestão,Líder 48,2023-07-27,2024-06-21,2024-07-17,Concluído,76.77,6.53
1385,921,410,Vendas,Líder 34,2024-10-19,2024-12-31,,Em Andamento,32.15,4.12
1386,924,454,Atendimento,Líder 34,2024-04-17,2024-09-14,2024-06-09,Concluído,88.38,6.71
1387,924,330,Atendimento,Líder 39,2024-05-09,2024-11-05,2024-05-29,Concluído,91.01,8.8
1388,925,363,Tecnologia,Líder 50,2024-11-07,2024-12-31,2024-11-19,Concluído,80.02,8.72
1389,927,11,Produto,Líder 34,2024-10-25,2024-12-31,,Cancelado,0.93,5.78
1390,927,457,Produto,Líder 45,2023-02-13,2023-11-10,2023-05-14,Concluído,78.35,9.18
1391,927,250,Produto,Líder 18,2023-06-22,2024-04-17,2023-09-18,Concluído,91.85,6.41
1392,928,185,Vendas,Líder 32,2024-08-15,2024-12-31,2024-12-21,Concluído,92.29,6.43
1393,928,131,Vendas,Líder 4,2024-12-21,2024-12-31,,Em Andamento,56.74,4.82
1394,928,351,Vendas,Líder 13,2024-06-28,2024-12-31,,Em Andamento,64.93,5.17
1395,929,414,Comercial,Líder 45,2024-12-12,2024-12-31,2024-12-31,Concluído,91.71,9.52
1396,929,51,Comercial,Líder 44,2024-12-06,2024-12-31,2024-12-31,Concluído,97.71,8.09
1397,929,175,Comercial,Líder 23,2024-12-25,2024-12-31,,Em Andamento,55.19,6.68
1398,930,144,Tecnologia,Líder 43,2024-08-14,2024-12-31,2024-12-31,Concluído,94.53,7.24
1399,931,485,Comercial,Líder 31,2024-11-17,2024-12-31,,Em Andamento,21.18,5.89
1400,931,374,Comercial,Líder 29,2024-05-16,2024-11-12,,Cancelado,9.98,2.19
1401,932,378,Operações,Líder 11,2023-08-02,2024-06-27,2024-04-13,Concluído,92.05,8.0
1402,932,118,Operações,Líder 6,2023-04-08,2024-04-02,,Em Andamento,65.36,6.17
1403,933,421,Tecnologia,Líder 48,2024-10-18,2024-12-31,,Em Andamento,61.32,5.62
1404,933,348,Tecnologia,Líder 34,2024-09-27,2024-12-31,,Em Andamento,60.98,7.91
1405,935,484,Financeiro,Líder 24,2024-10-02,2024-12-31,2024-12-29,Concluído,87.41,6.05
1406,935,160,Financeiro,Líder 28,2022-08-05,2022-12-03,2022-08-29,Concluído,89.59,8.12
1407,936,295,Marketing,Líder 23,2023-04-13,2023-11-09,2024-01-08,Concluído,85.59,8.78
1408,936,432,Marketing,Líder 31,2024-02-02,2024-12-31,2024-02-21,Concluído,75.86,8.6
1409,938,305,Produto,Líder 20,2024-12-04,2024-12-31,,Em Andamento,67.51,6.82
1410,938,205,Produto,Líder 5,2024-01-27,2024-10-23,2024-05-08,Concluído,99.74,9.77
1411,939,429,Tecnologia,Líder 28,2024-08-24,2024-12-31,2024-11-10,Concluído,85.14,8.55
1412,939,59,Tecnologia,Líder 38,2024-10-23,2024-12-31,2024-11-04,Concluído,85.27,9.62
1413,939,162,Tecnologia,Líder 19,2024-07-07,2024-11-04,2024-07-22,Concluído,96.34,6.91
1414,940,400,Gente & Gestão,Líder 14,2023-01-10,2023-12-06,,Cancelado,15.16,2.76
1415,940,232,Gente & Gestão,Líder 20,2024-07-09,2024-12-31,2024-11-12,Concluído,89.94,9.17
1416,941,328,Suporte,Líder 30,2024-12-09,2024-12-31,,Em Andamento,60.3,7.67
1417,943,52,Marketing,Líder 26,2024-06-01,2024-08-30,,Em Andamento,51.93,4.33
1418,943,39,Marketing,Líder 14,2024-07-09,2024-12-31,2024-12-31,Concluído,77.92,9.65
1419,943,406,Marketing,Líder 49,2024-04-23,2024-12-31,2024-08-19,Concluído,84.35,6.93
1420,944,415,Marketing,Líder 29,2024-12-10,2024-12-31,2024-12-31,Concluído,79.92,8.88
1421,944,296,Marketing,Líder 14,2024-12-11,2024-12-31,2024-12-31,Concluído,97.32,6.47
1422,945,36,Comercial,Líder 48,2024-09-05,2024-12-31,2024-12-31,Concluído,98.72,7.32
1423,945,405,Comercial,Líder 21,2024-03-12,2024-09-08,2024-07-22,Concluído,70.9,9.23
1424,946,487,Financeiro,Líder 47,2022-09-23,2023-09-18,,Cancelado,0.56,2.87
1425,946,116,Financeiro,Líder 48,2022-12-15,2023-10-11,,Em Andamento,68.05,5.76
1426,947,187,Gente & Gestão,Líder 18,2024-09-30,2024-12-31,2024-12-31,Concluído,76.18,7.3
1427,949,196,Gente & Gestão,Líder 24,2024-01-19,2024-06-17,2024-02-19,Concluído,90.61,6.33
1428,949,435,Gente & Gestão,Líder 49,2023-11-07,2024-11-01,,Cancelado,11.58,3.52
1429,949,205,Gente & Gestão,Líder 33,2024-01-05,2024-10-31,2024-10-21,Concluído,91.4,9.02
1430,951,328,Inovação,Líder 32,2024-07-03,2024-12-31,2024-12-31,Concluído,70.82,6.23
1431,951,256,Inovação,Líder 16,2024-01-25,2024-12-20,2024-04-05,Concluído,74.53,9.54
1432,951,2,Inovação,Líder 10,2024-02-27,2024-05-27,2024-03-01,Concluído,78.58,6.52
1433,954,48,Marketing,Líder 21,2024-05-07,2024-12-31,2024-08-30,Concluído,88.66,7.76
1434,954,326,Marketing,Líder 18,2024-01-31,2024-06-29,2024-02-17,Concluído,87.81,8.28
1435,955,482,Atendimento,Líder 3,2024-12-01,2024-12-31,2024-12-09,Concluído,82.86,9.03
1436,955,192,Atendimento,Líder 25,2024-12-15,2024-12-31,,Em Andamento,52.73,6.03
1437,956,126,Comercial,Líder 44,2024-09-07,2024-12-31,,Em Andamento,46.91,6.82
1438,956,127,Comercial,Líder 38,2023-10-10,2024-03-08,,Em Andamento,22.9,5.91
1439,957,203,Vendas,Líder 49,2024-05-27,2024-12-31,,Em Andamento,58.98,5.36
1440,957,178,Vendas,Líder 49,2024-10-16,2024-12-31,,Cancelado,16.88,5.71
1441,957,89,Vendas,Líder 49,2023-09-01,2023-12-30,2023-11-06,Concluído,94.81,6.15
1442,958,375,Vendas,Líder 29,2024-07-01,2024-12-31,,Cancelado,11.4,2.84
1443,958,133,Vendas,Líder 37,2023-11-25,2024-08-21,2024-03-18,Concluído,91.91,7.82
1444,958,422,Vendas,Líder 30,2024-08-01,2024-10-30,2024-08-29,Concluído,98.25,6.53
1445,959,400,Inovação,Líder 40,2024-11-27,2024-12-31,2024-12-01,Concluído,89.78,8.21
1446,959,64,Inovação,Líder 50,2024-12-11,2024-12-31,2024-12-31,Concluído,92.51,8.78
1447,960,500,Vendas,Líder 25,2024-12-30,2024-12-31,2024-12-31,Concluído,98.75,7.17
1448,960,60,Vendas,Líder 27,2024-12-24,2024-12-31,,Cancelado,4.1,4.32
1449,960,189,Vendas,Líder 14,2024-12-26,2024-12-31,2024-12-31,Concluído,87.54,7.17
1450,961,113,Operações,Líder 27,2024-09-11,2024-12-31,2024-09-27,Concluído,98.13,7.63
1451,964,369,Gente & Gestão,Líder 42,2023-12-06,2024-06-03,2024-05-14,Concluído,89.16,9.43
1452,964,341,Gente & Gestão,Líder 2,2024-01-27,2024-12-22,2024-12-31,Concluído,74.05,7.95
1453,964,391,Gente & Gestão,Líder 4,2023-02-18,2024-02-13,2023-05-23,Concluído,82.1,8.25
1454,966,442,Operações,Líder 34,2024-07-09,2024-12-31,2024-12-31,Concluído,77.3,8.75
1455,966,206,Operações,Líder 46,2024-11-11,2024-12-31,,Em Andamento,27.06,5.02
1456,967,124,Financeiro,Líder 22,2024-04-14,2024-11-10,,Cancelado,19.43,3.54
1457,967,185,Financeiro,Líder 49,2024-08-14,2024-12-31,,Em Andamento,29.48,4.53
1458,967,446,Financeiro,Líder 39,2023-11-09,2024-10-04,2024-09-28,Concluído,97.22,7.58
1459,968,382,Atendimento,Líder 48,2024-03-28,2024-09-24,2024-07-13,Concluído,91.46,6.73
1460,968,335,Atendimento,Líder 43,2024-12-07,2024-12-31,,Em Andamento,37.18,7.54
1461,970,316,Financeiro,Líder 2,2023-06-04,2023-10-02,2023-07-27,Concluído,98.66,8.23
1462,970,450,Financeiro,Líder 28,2022-06-23,2023-04-19,2022-08-10,Concluído,79.65,8.46
1463,971,337,Tecnologia,Líder 37,2024-11-16,2024-12-31,2024-12-31,Concluído,89.74,8.41
1464,972,291,Tecnologia,Líder 20,2023-07-19,2024-01-15,2024-02-21,Concluído,95.94,6.07
1465,972,407,Tecnologia,Líder 15,2023-03-25,2023-11-20,,Cancelado,15.87,4.52
1466,972,396,Tecnologia,Líder 21,2024-03-22,2024-07-20,,Em Andamento,60.69,4.07
1467,973,105,Atendimento,Líder 27,2024-04-25,2024-12-31,2024-06-02,Concluído,91.93,6.68
1468,974,170,Operações,Líder 36,2024-11-27,2024-12-31,2024-12-07,Concluído,87.5,8.22
1469,976,324,Financeiro,Líder 23,2024-08-02,2024-12-30,2024-12-20,Concluído,99.5,8.88
1470,976,332,Financeiro,Líder 3,2024-02-21,2024-11-17,2024-05-18,Concluído,96.09,8.73
1471,977,100,Qualidade,Líder 39,2024-09-26,2024-12-31,,Cancelado,12.6,2.07
1472,977,13,Qualidade,Líder 37,2024-08-10,2024-11-08,,Cancelado,21.1,5.63
1473,977,348,Qualidade,Líder 35,2024-11-13,2024-12-31,2024-12-31,Concluído,89.88,8.84
1474,978,246,Produto,Líder 7,2024-07-17,2024-12-31,,Em Andamento,74.95,5.65
1475,979,68,Marketing,Líder 13,2024-09-13,2024-12-12,,Em Andamento,42.1,5.42
1476,979,124,Marketing,Líder 30,2024-08-25,2024-12-31,2024-12-31,Concluído,75.82,9.76
1477,980,476,Financeiro,Líder 18,2024-12-28,2024-12-31,2024-12-31,Concluído,98.27,7.94
1478,980,79,Financeiro,Líder 28,2024-10-02,2024-12-31,,Em Andamento,35.8,4.88
1479,980,193,Financeiro,Líder 17,2024-12-19,2024-12-31,2024-12-31,Concluído,94.46,6.39
1480,981,193,Produto,Líder 49,2024-09-09,2024-12-31,2024-12-21,Concluído,86.34,9.9
1481,981,266,Produto,Líder 16,2024-12-19,2024-12-31,2024-12-26,Concluído,77.54,7.39
1482,982,145,Atendimento,Líder 29,2024-12-09,2024-12-31,2024-12-31,Concluído,97.16,9.52
1483,982,144,Atendimento,Líder 28,2024-12-31,2024-12-31,,Em Andamento,63.3,7.12
1484,983,488,Inovação,Líder 36,2024-12-29,2024-12-31,2024-12-31,Concluído,84.6,8.95
1485,984,440,Financeiro,Líder 20,2024-11-28,2024-12-31,,Em Andamento,79.03,7.41
1486,985,413,Atendimento,Líder 34,2023-06-05,2024-01-31,2024-01-12,Concluído,73.24,6.76
1487,985,90,Atendimento,Líder 23,2022-11-14,2023-04-13,2023-05-01,Concluído,93.7,7.17
1488,985,380,Atendimento,Líder 23,2023-05-26,2023-10-23,,Em Andamento,73.72,7.19
1489,987,178,Vendas,Líder 41,2023-06-12,2023-09-10,2023-07-03,Concluído,92.06,7.69
1490,987,148,Vendas,Líder 29,2024-04-19,2024-08-17,2024-08-13,Concluído,93.73,8.54
1491,988,113,Inovação,Líder 46,2024-12-30,2024-12-31,2024-12-31,Concluído,95.25,8.52
1492,990,186,Atendimento,Líder 35,2024-12-07,2024-12-31,2024-12-14,Concluído,93.98,9.1
1493,990,377,Atendimento,Líder 32,2024-03-02,2024-10-28,,Em Andamento,55.82,4.97
1494,991,495,Comercial,Líder 38,2023-06-21,2023-11-18,2023-11-05,Concluído,92.68,8.33
1495,991,111,Comercial,Líder 46,2023-08-13,2023-11-11,,Em Andamento,73.39,6.47
1496,991,96,Comercial,Líder 9,2024-11-08,2024-12-31,2024-12-31,Concluído,96.1,8.68
1497,992,203,Qualidade,Líder 35,2024-10-28,2024-12-31,,Cancelado,16.5,3.33
1498,992,447,Qualidade,Líder 45,2024-03-06,2024-07-04,,Cancelado,22.69,4.95
1499,993,383,Produto,Líder 39,2024-10-30,2024-12-31,,Cancelado,25.84,2.58
1500,993,412,Produto,Líder 27,2024-05-21,2024-12-31,,Em Andamento,72.5,4.35
1501,996,228,Operações,Líder 40,2024-03-01,2024-10-27,,Em Andamento,32.23,7.49
1502,996,459,Operações,Líder 37,2024-06-25,2024-12-31,2024-12-31,Concluído,97.97,8.54
1503,996,417,Operações,Líder 43,2023-12-22,2024-12-16,,Em Andamento,52.01,7.78
1504,997,216,Operações,Líder 30,2024-01-21,2024-09-17,2024-07-20,Concluído,72.61,9.55
1505,997,102,Operações,Líder 32,2023-02-27,2023-11-24,2023-05-01,Concluído,74.19,8.45
1506,998,248,Qualidade,Líder 25,2024-11-19,2024-12-31,2024-12-31,Concluído,94.37,7.74
1507,998,255,Qualidade,Líder 41,2024-06-05,2024-12-31,,Em Andamento,70.42,7.95
1508,998,23,Qualidade,Líder 30,2023-12-28,2024-07-25,2024-09-14,Concluído,94.44,9.86
1509,999,45,Financeiro,Líder 37,2024-10-27,2024-12-31,,Em Andamento,26.51,4.93
1510,999,111,Financeiro,Líder 3,2024-04-25,2024-11-21,,Em Andamento,31.88,7.59
1511,999,152,Financeiro,Líder 36,2024-06-08,2024-12-31,2024-06-27,Concluído,75.08,8.16
1512,1000,193,Tecnologia,Líder 24,2024-09-29,2024-12-31,2024-12-13,Concluído,88.8,9.14
1513,1001,131,Marketing,Líder 6,2024-03-04,2024-12-31,,Em Andamento,43.73,5.07
1514,1002,181,Atendimento,Líder 20,2024-07-04,2024-10-02,,Cancelado,38.17,5.1
1515,1002,491,Atendimento,Líder 44,2024-12-03,2024-12-31,2024-12-31,Concluído,83.22,6.69
1516,1003,91,Inovação,Líder 7,2022-07-09,2023-04-05,2022-08-16,Concluído,84.58,6.31
1517,1003,496,Inovação,Líder 8,2023-02-12,2023-12-09,,Em Andamento,33.44,6.12
1518,1006,452,Vendas,Líder 29,2024-11-05,2024-12-31,2024-12-31,Concluído,98.31,6.6
1519,1006,424,Vendas,Líder 35,2024-12-02,2024-12-31,2024-12-31,Concluído,90.68,8.27
1520,1008,317,Vendas,Líder 37,2024-06-21,2024-12-18,2024-12-05,Concluído,85.62,9.88
1521,1008,126,Vendas,Líder 33,2024-07-30,2024-12-31,,Em Andamento,59.38,7.91
1522,1008,2,Vendas,Líder 17,2024-07-25,2024-12-31,,Cancelado,35.18,5.05
1523,1009,100,Gente & Gestão,Líder 18,2024-10-13,2024-12-31,,Em Andamento,74.17,7.19
1524,1009,11,Gente & Gestão,Líder 44,2024-06-12,2024-11-09,2024-10-03,Concluído,96.84,9.56
1525,1009,347,Gente & Gestão,Líder 15,2024-09-12,2024-12-31,2024-11-04,Concluído,95.56,6.98
1526,1011,200,Operações,Líder 8,2024-08-21,2024-11-19,,Cancelado,17.24,4.13
1527,1012,58,Operações,Líder 5,2024-06-24,2024-12-31,,Em Andamento,61.16,4.15
1528,1012,482,Operações,Líder 9,2024-08-13,2024-12-31,2024-11-12,Concluído,95.94,8.29
1529,1015,203,Atendimento,Líder 35,2024-03-19,2024-09-15,,Em Andamento,33.39,5.02
1530,1015,332,Atendimento,Líder 43,2024-03-22,2024-12-31,,Em Andamento,71.88,5.65
1531,1016,86,Operações,Líder 15,2024-03-26,2024-12-31,,Em Andamento,36.26,4.91
1532,1016,367,Operações,Líder 44,2022-09-13,2023-02-10,2023-03-04,Concluído,95.16,8.77
1533,1016,481,Operações,Líder 4,2024-08-07,2024-11-05,,Cancelado,14.24,2.65
1534,1017,473,Marketing,Líder 11,2024-06-09,2024-12-31,,Cancelado,7.1,3.01
1535,1020,363,Comercial,Líder 22,2024-12-27,2024-12-31,2024-12-27,Concluído,93.32,8.93
1536,1021,381,Inovação,Líder 40,2024-03-04,2024-10-30,,Em Andamento,29.36,4.63
1537,1021,401,Inovação,Líder 45,2024-11-04,2024-12-31,,Cancelado,3.9,5.5
1538,1021,83,Inovação,Líder 29,2024-01-16,2024-09-12,,Em Andamento,22.9,4.05
1539,1022,423,Gente & Gestão,Líder 8,2023-10-18,2024-04-15,,Em Andamento,67.84,5.99
1540,1023,142,Atendimento,Líder 38,2024-03-27,2024-12-22,2024-04-01,Concluído,86.36,9.12
1541,1023,457,Atendimento,Líder 37,2024-08-11,2024-12-31,2024-10-22,Concluído,93.04,9.36
1542,1023,41,Atendimento,Líder 50,2024-04-30,2024-12-31,,Cancelado,3.32,5.1
1543,1025,157,Produto,Líder 14,2023-02-25,2023-05-26,,Em Andamento,39.55,6.6
1544,1025,56,Produto,Líder 43,2023-03-19,2023-11-14,2023-07-15,Concluído,80.42,9.94
1545,1026,257,Gente & Gestão,Líder 34,2024-09-10,2024-12-09,2024-09-16,Concluído,90.85,9.47
1546,1026,194,Gente & Gestão,Líder 43,2023-07-22,2023-11-19,2023-11-26,Concluído,89.85,7.2
1547,1026,302,Gente & Gestão,Líder 42,2023-03-01,2023-10-27,2023-09-09,Concluído,75.39,9.34
1548,1027,190,Vendas,Líder 4,2023-05-09,2023-08-07,2023-08-29,Concluído,85.91,9.29
1549,1027,234,Vendas,Líder 37,2022-04-17,2022-09-14,,Cancelado,10.68,2.71
1550,1027,343,Vendas,Líder 10,2023-11-14,2024-07-11,2024-01-31,Concluído,80.11,6.82
1551,1029,131,Suporte,Líder 14,2024-09-28,2024-12-31,,Em Andamento,60.76,4.97
1552,1029,257,Suporte,Líder 19,2024-10-16,2024-12-31,,Cancelado,14.14,3.66
1553,1031,29,Vendas,Líder 45,2023-12-18,2024-09-13,,Em Andamento,63.31,7.92
1554,1031,300,Vendas,Líder 2,2022-11-10,2023-03-10,2023-05-06,Concluído,77.62,6.4
1555,1032,370,Marketing,Líder 48,2024-07-08,2024-12-31,,Cancelado,12.02,2.06
1556,1033,231,Qualidade,Líder 12,2022-11-23,2023-07-21,2023-04-20,Concluído,97.66,8.93
1557,1034,280,Comercial,Líder 27,2023-09-25,2024-09-19,2023-11-27,Concluído,88.92,6.11
1558,1034,431,Comercial,Líder 3,2023-10-19,2024-08-14,,Cancelado,1.35,4.06
1559,1035,474,Financeiro,Líder 3,2023-12-26,2024-07-23,2024-05-20,Concluído,81.45,9.04
1560,1036,398,Suporte,Líder 9,2024-10-20,2024-12-31,,Em Andamento,49.48,7.74
1561,1037,361,Marketing,Líder 37,2023-11-10,2024-03-09,2024-01-16,Concluído,74.42,8.62
1562,1037,31,Marketing,Líder 45,2024-02-26,2024-11-22,2024-10-22,Concluído,81.66,7.66
