ID,Funcionario_ID,Treinamento_ID,Nome_Treinamento,Data_Inicio,Data_Conclusao,Horas_Capacitacao,Aderencia_Plano_Educacional,Avaliacao_Eficacia,Status
1591,403,44,Gestão de Tempo,2024-04-29,2024-11-13,16.18,94.28,9.44,Concluído
1592,403,7,Python Avançado,2024-11-10,2024-11-16,17.23,93.07,9.66,Concluído
1593,404,76,Vendas Consultivas,2023-08-01,2024-08-15,10.89,73.51,7.0,Concluído
1594,405,18,Negociação,2023-05-09,2024-02-11,4.53,81.51,9.85,Concluído
1595,405,7,Power BI,2023-11-03,2024-05-26,33.24,75.3,7.98,Concluído
1596,405,72,JavaScript Moderno,2024-03-01,2024-06-02,24.2,95.84,7.85,Concluído
1597,405,59,Oratória,2023-09-01,,11.23,61.78,,Em Andamento
1598,405,57,Agile/Scrum,2024-06-04,2024-10-19,26.16,79.95,6.92,Concluído
1599,405,95,Liderança e Gestão de Pessoas,2023-11-15,,1.11,32.72,,Cancelado
1600,406,24,Machine Learning,2024-08-30,,9.91,22.19,,Cancelado
1601,406,90,Negociação,2024-08-13,,5.88,63.39,,Em Andamento
1602,406,30,Vendas Consultivas,2024-11-09,2024-11-15,26.65,72.04,9.32,Concluído
1603,406,38,Gestão de Projetos,2024-09-10,2024-11-22,15.13,85.07,7.86,Concluído
1604,407,12,Customer Success,2024-12-18,2024-12-31,14.81,60.85,6.06,Concluído
1605,407,1,Excel Avançado,2024-12-03,2024-12-23,29.92,71.07,6.9,Concluído
1606,409,57,Python Avançado,2024-10-08,2024-11-03,28.0,68.58,8.52,Concluído
1607,409,88,Product Management,2024-12-08,2024-12-21,21.16,64.25,8.81,Concluído
1608,409,18,Product Management,2024-09-22,2024-11-01,34.77,81.54,9.18,Concluído
1609,409,10,Gestão de Projetos,2024-12-27,2024-12-30,21.59,96.75,9.07,Concluído
1610,410,33,Python Avançado,2024-10-08,2024-10-26,18.16,71.23,6.91,Concluído
1611,410,11,Liderança e Gestão de Pessoas,2024-08-16,2024-11-04,9.12,78.45,7.99,Concluído
1612,410,91,Power BI,2024-12-10,2024-12-31,34.72,66.11,9.86,Concluído
1613,410,15,Excel Avançado,2024-06-13,2024-08-22,38.21,96.86,8.34,Concluído
1614,410,57,Machine Learning,2024-11-29,2024-12-04,35.11,61.14,9.58,Concluído
1615,410,49,Liderança e Gestão de Pessoas,2024-11-19,,9.62,74.14,,Em Andamento
1616,410,74,Power BI,2024-12-20,2024-12-29,7.6,91.47,9.18,Concluído
1617,410,6,Data Analytics,2024-12-26,2024-12-27,37.86,72.19,9.23,Concluído
1618,411,41,Segurança da Informação,2022-11-10,,16.47,74.85,,Em Andamento
1619,411,51,Product Management,2023-08-01,2024-05-12,36.65,77.14,6.4,Concluído
1620,411,11,Product Management,2023-10-15,2024-11-14,16.07,64.49,9.17,Concluído
1621,411,89,Python Avançado,2023-01-02,2023-04-20,21.79,86.29,8.09,Concluído
1622,411,81,Customer Success,2024-05-14,2024-11-26,24.4,76.91,7.47,Concluído
1623,412,45,DevOps e CI/CD,2024-03-28,2024-06-07,35.37,76.84,7.38,Concluído
1624,412,78,Gestão de Projetos,2024-12-24,2024-12-26,34.48,94.87,6.75,Concluído
1625,413,86,Comunicação Eficaz,2024-12-25,2024-12-26,22.57,86.89,8.02,Concluído
1626,413,76,Negociação,2024-09-27,2024-10-24,33.49,65.8,7.12,Concluído
1627,413,92,Gestão de Tempo,2024-12-14,2024-12-18,11.81,60.13,8.76,Concluído
1628,413,2,Power BI,2024-10-05,,11.79,74.38,,Em Andamento
1629,413,45,Excel Avançado,2024-08-13,2024-12-17,5.71,95.0,9.73,Concluído
1630,413,85,Oratória,2024-10-28,,18.56,59.07,,Em Andamento
1631,413,43,Gestão de Projetos,2024-09-06,,2.76,30.52,,Em Andamento
1632,413,87,Gestão de Projetos,2024-09-16,,10.1,43.96,,Em Andamento
1633,415,51,Gestão de Tempo,2022-06-24,2024-07-17,37.01,60.28,8.41,Concluído
1634,415,67,Data Analytics,2024-05-17,2024-10-17,6.45,96.42,9.05,Concluído
1635,415,49,Data Analytics,2024-07-08,,11.55,48.67,,Em Andamento
1636,415,57,JavaScript Moderno,2024-06-14,2024-07-05,38.16,67.75,7.65,Concluído
1637,415,88,Machine Learning,2022-07-15,2023-06-06,29.54,76.44,6.74,Concluído
1638,416,60,Cloud Computing AWS,2024-10-20,2024-11-24,7.57,85.3,8.83,Concluído
1639,416,42,Oratória,2024-09-13,2024-10-17,28.18,65.53,6.39,Concluído
1640,416,61,Cloud Computing AWS,2024-11-16,2024-11-19,33.61,91.7,7.45,Concluído
1641,416,69,Customer Success,2024-12-21,2024-12-24,15.6,93.7,7.06,Concluído
1642,417,69,Oratória,2024-12-01,,8.82,34.99,,Cancelado
1643,418,74,Product Management,2024-08-27,2024-10-14,25.3,64.06,9.46,Concluído
1644,418,22,Python Avançado,2023-04-21,2024-02-01,6.24,63.23,9.35,Concluído
1645,418,28,Gestão de Projetos,2022-09-29,2024-08-02,34.11,94.34,9.16,Concluído
1646,418,38,Oratória,2023-02-26,2023-05-14,31.51,72.43,9.74,Concluído
1647,418,97,Product Management,2023-03-03,2023-09-20,23.19,93.63,9.18,Concluído
1648,418,74,Cloud Computing AWS,2023-05-21,2024-01-09,9.85,80.06,6.93,Concluído
1649,418,32,Gestão de Projetos,2023-07-14,2024-05-27,31.96,80.0,7.59,Concluído
1650,418,77,Cloud Computing AWS,2022-07-12,,9.47,1.68,,Cancelado
1651,419,25,Vendas Consultivas,2024-10-25,2024-12-27,19.07,88.72,7.84,Concluído
1652,419,74,Liderança e Gestão de Pessoas,2024-06-15,2024-11-21,4.11,94.81,6.3,Concluído
1653,419,65,Gestão de Tempo,2024-12-05,,13.4,71.29,,Em Andamento
1654,419,12,Comunicação Eficaz,2024-03-30,2024-04-09,6.45,74.89,8.39,Concluído
1655,419,89,Liderança e Gestão de Pessoas,2023-09-26,2024-10-04,16.64,72.74,9.88,Concluído
1656,420,59,JavaScript Moderno,2024-11-27,2024-11-30,39.84,61.03,6.57,Concluído
1657,420,10,Excel Avançado,2024-12-14,2024-12-16,4.86,71.91,9.06,Concluído
1658,420,31,Design Thinking,2024-12-20,,17.0,34.4,,Em Andamento
1659,420,24,Liderança e Gestão de Pessoas,2024-12-16,2024-12-24,36.26,66.19,7.49,Concluído
1660,420,28,Gestão de Projetos,2024-12-03,2024-12-22,15.5,96.84,6.72,Concluído
1661,420,91,Excel Avançado,2024-11-24,2024-12-02,20.54,85.68,8.98,Concluído
1662,421,67,Gestão de Projetos,2024-12-08,2024-12-15,28.18,89.27,6.61,Concluído
1663,421,62,Gestão de Tempo,2024-10-02,,4.53,58.32,,Em Andamento
1664,421,70,Design Thinking,2024-11-29,2024-12-17,26.01,75.52,9.74,Concluído
1665,421,38,Customer Success,2024-10-05,,6.99,87.08,,Em Andamento
1666,421,63,Negociação,2024-10-25,2024-12-30,27.38,89.13,9.89,Concluído
1667,421,44,Segurança da Informação,2024-11-13,2024-12-02,26.81,73.78,7.75,Concluído
1668,422,36,Oratória,2024-04-23,2024-05-16,14.77,83.27,9.1,Concluído
1669,422,79,JavaScript Moderno,2024-06-01,2024-10-17,13.55,93.9,8.73,Concluído
1670,422,27,Oratória,2024-04-18,2024-07-21,16.45,79.62,8.67,Concluído
1671,422,81,Customer Success,2023-12-10,2024-09-07,20.81,70.38,7.57,Concluído
1672,422,53,Agile/Scrum,2024-03-04,2024-11-08,36.48,77.8,7.77,Concluído
1673,422,57,Data Analytics,2024-08-10,2024-08-15,29.96,80.95,6.77,Concluído
1674,422,86,Cloud Computing AWS,2024-06-26,2024-10-12,24.47,95.0,9.87,Concluído
1675,423,23,Negociação,2024-09-11,2024-12-12,19.77,89.22,9.13,Concluído
1676,423,52,Gestão de Projetos,2024-06-05,2024-08-28,5.09,98.72,7.88,Concluído
1677,423,53,Cloud Computing AWS,2024-03-01,,9.29,23.57,,Em Andamento
1678,423,11,Customer Success,2024-02-04,2024-07-16,18.57,73.85,9.09,Concluído
1679,423,79,JavaScript Moderno,2024-01-20,2024-05-19,6.58,65.01,8.85,Concluído
1680,423,94,Negociação,2024-11-11,,13.22,47.85,,Em Andamento
1681,423,53,DevOps e CI/CD,2024-11-21,2024-11-28,15.34,70.14,9.68,Concluído
1682,423,60,Liderança e Gestão de Pessoas,2024-02-09,2024-08-07,32.8,84.56,8.27,Concluído
1683,425,34,Customer Success,2024-07-06,2024-10-14,9.94,89.52,7.23,Concluído
1684,426,58,Design Thinking,2024-11-14,2024-12-23,27.69,79.45,7.45,Concluído
1685,426,21,Data Analytics,2024-11-10,2024-11-19,23.55,92.65,6.02,Concluído
1686,426,96,Segurança da Informação,2024-09-21,2024-11-25,27.49,65.73,6.2,Concluído
1687,426,43,Comunicação Eficaz,2024-12-31,2025-01-01,29.91,87.43,7.77,Concluído
1688,426,78,Design Thinking,2024-12-13,2024-12-20,12.88,67.22,6.6,Concluído
1689,426,31,Agile/Scrum,2024-10-08,2024-10-17,27.85,92.93,8.2,Concluído
1690,427,32,Product Management,2024-04-05,,19.86,56.13,,Em Andamento
1691,427,97,Design Thinking,2024-04-12,2024-08-30,4.36,80.64,7.56,Concluído
1692,427,97,Machine Learning,2023-03-19,2024-06-26,39.3,80.42,9.57,Concluído
1693,427,19,Customer Success,2023-10-31,2024-09-27,7.85,62.13,6.76,Concluído
1694,427,79,Comunicação Eficaz,2023-06-22,2024-04-01,25.97,81.67,7.39,Concluído
1695,427,68,Gestão de Projetos,2024-04-27,2024-11-22,18.37,71.88,6.11,Concluído
1696,428,43,Liderança e Gestão de Pessoas,2024-09-07,2024-11-01,37.19,88.82,7.16,Concluído
1697,428,98,Negociação,2024-11-28,2024-12-30,24.38,70.7,6.71,Concluído
1698,428,94,Vendas Consultivas,2023-06-28,,19.46,7.39,,Em Andamento
1699,429,75,Comunicação Eficaz,2024-12-21,2024-12-31,37.44,78.34,9.79,Concluído
1700,429,18,Power BI,2024-11-23,2024-12-27,5.59,63.2,6.37,Concluído
1701,429,18,Liderança e Gestão de Pessoas,2024-07-17,,1.67,26.23,,Cancelado
1702,429,14,Negociação,2024-08-30,2024-10-05,17.8,71.63,6.13,Concluído
1703,429,58,Product Management,2024-11-19,2024-12-21,39.86,90.66,6.03,Concluído
1704,429,93,Machine Learning,2024-09-30,2024-10-06,26.12,66.34,6.82,Concluído
1705,429,21,DevOps e CI/CD,2024-06-07,2024-10-04,14.33,71.48,8.04,Concluído
1706,429,35,DevOps e CI/CD,2024-09-28,,8.93,12.38,,Cancelado
1707,430,70,Agile/Scrum,2024-09-21,2024-10-18,33.0,99.38,6.56,Concluído
1708,430,8,Design Thinking,2024-10-26,2024-12-21,20.08,79.24,9.83,Concluído
1709,430,98,Design Thinking,2024-01-31,2024-12-14,10.26,89.75,7.69,Concluído
1710,431,88,Gestão de Tempo,2024-06-30,2024-09-08,9.35,96.46,6.82,Concluído
1711,431,95,Agile/Scrum,2023-03-13,2024-08-08,39.3,80.79,8.01,Concluído
1712,431,100,Gestão de Tempo,2023-04-02,2024-10-10,4.75,64.44,6.48,Concluído
1713,431,91,Customer Success,2024-02-02,2024-03-03,18.85,93.26,7.83,Concluído
1714,431,61,Cloud Computing AWS,2023-08-15,2024-02-07,29.66,93.03,7.2,Concluído
1715,432,54,Gestão de Tempo,2024-05-19,2024-06-17,12.3,90.19,7.5,Concluído
1716,432,38,Negociação,2024-07-08,2024-08-11,28.26,75.49,7.19,Concluído
1717,432,55,Customer Success,2024-11-02,2024-11-17,19.45,71.19,8.29,Concluído
1718,432,2,Negociação,2023-12-16,2024-02-05,11.69,92.01,9.23,Concluído
1719,432,24,Data Analytics,2024-02-15,2024-10-16,16.42,67.62,6.54,Concluído
1720,433,20,Design Thinking,2022-06-12,,10.84,6.39,,Em Andamento
1721,433,21,Product Management,2023-03-17,2023-09-11,30.85,91.25,6.94,Concluído
1722,433,100,Negociação,2024-09-15,2024-11-10,21.59,97.35,9.9,Concluído
1723,433,41,Vendas Consultivas,2023-12-11,,1.38,25.95,,Cancelado
1724,433,52,Excel Avançado,2024-05-04,2024-10-26,30.21,82.53,8.52,Concluído
1725,433,75,Comunicação Eficaz,2022-12-19,2023-08-22,39.82,65.74,7.38,Concluído
1726,433,66,Customer Success,2024-07-23,2024-08-12,6.63,95.31,9.45,Concluído
1727,434,23,Gestão de Projetos,2024-03-16,,1.36,34.88,,Cancelado
1728,434,74,JavaScript Moderno,2024-03-22,2024-06-16,8.73,83.46,6.17,Concluído
1729,434,4,Design Thinking,2024-09-06,,1.44,22.85,,Cancelado
1730,434,12,Vendas Consultivas,2024-09-27,2024-10-12,34.57,60.62,9.34,Concluído
1731,434,46,Vendas Consultivas,2024-10-20,,5.26,72.8,,Em Andamento
1732,434,54,Excel Avançado,2024-04-14,2024-07-22,36.56,91.62,8.27,Concluído
1733,434,100,Customer Success,2024-03-23,2024-12-06,22.54,88.68,7.46,Concluído
1734,436,44,Segurança da Informação,2023-07-24,2024-07-15,4.72,87.55,6.21,Concluído
1735,436,60,Gestão de Projetos,2024-02-11,,19.14,11.4,,Em Andamento
1736,438,78,JavaScript Moderno,2024-12-22,,13.9,84.94,,Em Andamento
1737,438,99,Comunicação Eficaz,2024-12-24,2024-12-29,14.79,78.67,7.66,Concluído
1738,438,2,Comunicação Eficaz,2024-12-27,2024-12-30,37.77,80.2,6.66,Concluído
1739,438,15,Gestão de Projetos,2024-12-14,,17.04,75.32,,Em Andamento
1740,438,98,Data Analytics,2024-12-28,2024-12-30,20.1,63.9,7.96,Concluído
1741,439,42,Power BI,2024-08-20,,5.43,16.24,,Em Andamento
1742,439,27,Oratória,2024-11-22,2024-12-03,21.31,65.65,8.57,Concluído
1743,439,48,Power BI,2024-04-20,2024-06-30,8.16,79.75,6.47,Concluído
1744,439,6,Segurança da Informação,2024-09-05,,9.99,17.48,,Cancelado
1745,439,49,Liderança e Gestão de Pessoas,2023-12-23,2024-02-06,16.65,64.9,9.41,Concluído
1746,439,27,Cloud Computing AWS,2024-10-29,2024-12-17,21.98,68.61,6.95,Concluído
1747,439,83,Vendas Consultivas,2024-08-21,2024-09-05,7.07,98.82,6.51,Concluído
1748,440,45,Power BI,2023-10-29,,9.73,13.91,,Cancelado
1749,440,43,Negociação,2023-10-09,2024-04-16,22.12,73.54,7.99,Concluído
1750,440,18,Python Avançado,2024-09-02,2024-12-09,22.32,88.98,6.89,Concluído
1751,440,82,Data Analytics,2024-05-23,2024-08-03,30.71,75.53,7.1,Concluído
1752,440,92,Customer Success,2023-09-23,2024-06-27,11.13,80.26,6.35,Concluído
1753,440,52,Vendas Consultivas,2024-11-24,2024-12-06,37.88,66.43,8.46,Concluído
1754,441,32,Customer Success,2023-09-25,2024-11-13,20.92,98.46,9.84,Concluído
1755,441,55,Power BI,2024-10-26,,13.9,6.01,,Em Andamento
1756,441,74,Design Thinking,2023-01-01,2024-08-02,16.46,67.35,7.95,Concluído
1757,441,60,Power BI,2022-09-06,2023-10-09,23.22,85.92,6.66,Concluído
1758,442,15,DevOps e CI/CD,2024-11-19,2024-11-20,29.33,60.88,7.74,Concluído
1759,442,13,Negociação,2024-01-24,2024-12-02,17.98,75.37,9.88,Concluído
1760,442,12,Agile/Scrum,2024-11-29,,5.36,51.95,,Em Andamento
1761,442,3,Gestão de Projetos,2024-03-12,2024-07-03,19.51,92.36,7.44,Concluído
1762,442,75,Excel Avançado,2024-03-24,2024-10-04,39.59,98.31,6.79,Concluído
1763,443,85,Negociação,2024-08-17,2024-09-11,39.59,76.17,8.06,Concluído
1764,443,36,Machine Learning,2023-10-05,2024-01-25,23.64,72.69,7.0,Concluído
1765,444,98,Comunicação Eficaz,2024-10-23,2024-12-16,10.21,90.71,9.24,Concluído
1766,444,26,Excel Avançado,2024-10-20,2024-12-27,31.86,62.18,9.1,Concluído
1767,444,81,Design Thinking,2024-06-09,2024-10-29,29.3,74.73,9.11,Concluído
1768,444,67,Power BI,2023-08-27,2024-08-30,26.22,61.57,9.43,Concluído
1769,444,97,Design Thinking,2023-08-05,2024-04-07,24.07,95.75,9.69,Concluído
1770,444,57,Cloud Computing AWS,2024-03-05,2024-10-23,9.89,92.4,9.38,Concluído
1771,445,65,Data Analytics,2024-01-09,2024-12-26,24.99,67.52,8.51,Concluído
1772,445,58,Agile/Scrum,2024-12-07,2024-12-23,17.9,98.97,6.34,Concluído
1773,445,29,Python Avançado,2023-10-15,2024-01-13,14.24,96.66,6.21,Concluído
1774,445,81,DevOps e CI/CD,2023-09-17,2024-10-09,15.5,64.22,9.98,Concluído
1775,445,97,Gestão de Tempo,2023-09-17,2023-09-20,27.0,62.49,6.07,Concluído
1776,445,88,Gestão de Projetos,2024-11-05,,6.1,5.31,,Em Andamento
1777,445,12,Cloud Computing AWS,2024-08-18,2024-08-23,33.68,60.32,7.02,Concluído
1778,445,72,Power BI,2024-10-15,2024-11-05,27.13,86.42,6.44,Concluído
1779,446,58,Excel Avançado,2022-12-21,2023-05-21,21.71,69.99,7.07,Concluído
1780,447,13,Vendas Consultivas,2023-04-15,2024-02-27,22.64,82.94,7.71,Concluído
1781,447,43,Design Thinking,2024-11-30,2024-12-27,23.63,96.48,6.78,Concluído
1782,447,76,Gestão de Tempo,2024-07-06,2024-07-18,21.55,85.18,9.72,Concluído
1783,447,78,Python Avançado,2023-03-14,2023-07-14,30.72,87.89,8.41,Concluído
1784,447,49,Gestão de Projetos,2024-10-22,2024-12-28,12.07,93.71,9.55,Concluído
1785,447,49,Design Thinking,2023-07-26,2024-08-17,20.92,62.82,8.17,Concluído
1786,448,58,DevOps e CI/CD,2024-03-26,2024-06-15,8.25,99.12,8.91,Concluído
1787,448,49,Gestão de Projetos,2024-03-18,,16.61,38.19,,Em Andamento
1788,448,94,Design Thinking,2023-08-06,,16.24,83.37,,Em Andamento
1789,448,41,DevOps e CI/CD,2023-05-12,,10.1,59.72,,Em Andamento
1790,448,89,Gestão de Tempo,2024-11-12,,10.83,43.42,,Em Andamento
1791,448,18,Negociação,2022-05-13,2022-06-17,20.65,76.46,8.93,Concluído
1792,449,37,Power BI,2024-05-13,2024-10-05,36.43,78.71,6.96,Concluído
1793,449,58,Agile/Scrum,2024-11-23,2024-12-29,19.62,92.64,8.0,Concluído
1794,449,96,Liderança e Gestão de Pessoas,2024-04-14,2024-10-20,33.49,76.11,7.05,Concluído
1795,450,18,JavaScript Moderno,2024-04-16,,9.95,37.55,,Cancelado
1796,450,75,Agile/Scrum,2024-07-11,2024-11-20,26.97,87.22,9.19,Concluído
1797,450,21,Cloud Computing AWS,2024-11-21,2024-12-02,4.54,91.03,9.93,Concluído
1798,450,28,Excel Avançado,2024-08-30,2024-12-13,31.07,84.74,8.0,Concluído
1799,450,93,Liderança e Gestão de Pessoas,2024-11-23,2024-11-26,11.75,89.28,7.75,Concluído
1800,451,95,Gestão de Tempo,2024-11-03,2024-12-17,8.59,63.32,8.65,Concluído
1801,452,1,Power BI,2024-11-24,2024-12-26,6.83,94.0,7.24,Concluído
1802,452,99,Oratória,2024-11-21,2024-11-29,18.29,77.59,6.45,Concluído
1803,452,55,Cloud Computing AWS,2024-11-22,2024-12-30,26.72,70.24,7.51,Concluído
1804,452,19,Design Thinking,2024-10-22,,3.26,16.7,,Cancelado
1805,453,8,Segurança da Informação,2024-07-27,2024-11-02,22.2,86.59,6.66,Concluído
1806,453,58,Agile/Scrum,2024-12-11,2024-12-23,34.5,75.93,9.5,Concluído
1807,453,1,Liderança e Gestão de Pessoas,2024-06-28,2024-11-06,26.31,78.59,7.86,Concluído
1808,453,11,Comunicação Eficaz,2024-12-30,2024-12-31,25.96,61.8,8.87,Concluído
1809,453,14,Negociação,2024-11-14,2024-11-16,28.06,63.15,6.6,Concluído
1810,453,14,Oratória,2024-11-08,2024-11-11,5.16,72.5,6.76,Concluído
1811,454,12,Machine Learning,2024-01-12,2024-09-16,37.78,70.27,9.6,Concluído
1812,455,44,DevOps e CI/CD,2024-08-20,2024-10-06,15.8,94.38,9.83,Concluído
1813,455,84,Design Thinking,2024-12-22,2024-12-27,32.58,63.48,8.98,Concluído
1814,455,92,DevOps e CI/CD,2024-09-20,2024-11-08,28.85,80.5,6.8,Concluído
1815,455,42,Vendas Consultivas,2024-11-12,2024-12-11,4.69,70.48,9.75,Concluído
1816,456,60,Customer Success,2023-05-05,2024-07-02,24.4,75.9,7.46,Concluído
1817,456,65,Gestão de Projetos,2024-06-09,2024-11-17,26.08,79.2,9.12,Concluído
1818,457,71,Data Analytics,2023-05-29,2023-10-30,32.68,94.25,7.1,Concluído
1819,458,86,Comunicação Eficaz,2024-09-08,2024-10-23,15.39,82.83,9.67,Concluído
1820,458,67,Comunicação Eficaz,2024-10-12,,7.61,3.04,,Cancelado
1821,458,20,Comunicação Eficaz,2024-09-02,,8.82,18.78,,Em Andamento
1822,458,59,Gestão de Tempo,2024-10-27,2024-11-09,18.55,68.18,9.12,Concluído
1823,458,99,Agile/Scrum,2024-09-04,2024-11-18,26.26,66.92,6.41,Concluído
1824,458,4,Comunicação Eficaz,2024-10-22,,3.39,18.88,,Cancelado
1825,459,78,Python Avançado,2024-03-17,,13.65,32.61,,Em Andamento
1826,459,20,Python Avançado,2023-09-02,,6.3,60.85,,Em Andamento
1827,459,29,Power BI,2024-11-20,,4.52,12.71,,Cancelado
1828,459,78,JavaScript Moderno,2024-02-22,2024-04-24,21.63,87.77,6.44,Concluído
1829,459,99,Cloud Computing AWS,2024-07-31,2024-08-28,24.66,90.77,6.56,Concluído
1830,459,98,Data Analytics,2022-08-08,,9.7,78.39,,Em Andamento
1831,459,15,Oratória,2022-11-29,2024-10-01,36.81,70.73,8.49,Concluído
1832,459,56,DevOps e CI/CD,2023-12-24,2024-07-16,21.77,88.61,6.49,Concluído
1833,461,91,Gestão de Tempo,2024-07-08,2024-08-16,9.06,97.84,6.95,Concluído
1834,461,32,Customer Success,2024-11-08,2024-12-02,30.34,96.23,6.83,Concluído
1835,461,46,Design Thinking,2024-10-05,2024-12-03,31.16,88.73,8.88,Concluído
1836,461,58,Gestão de Projetos,2024-12-31,2025-01-01,37.46,64.14,8.3,Concluído
1837,461,23,Machine Learning,2024-07-10,2024-08-22,19.45,84.4,8.13,Concluído
1838,461,13,Agile/Scrum,2024-11-01,2024-11-26,14.45,92.51,8.19,Concluído
1839,461,83,Product Management,2024-08-05,2024-08-07,25.52,77.25,6.85,Concluído
1840,462,33,Segurança da Informação,2024-03-28,2024-07-18,29.8,98.32,9.62,Concluído
1841,462,21,Cloud Computing AWS,2024-10-21,2024-11-18,39.46,89.84,7.57,Concluído
1842,462,70,Customer Success,2024-04-18,2024-06-27,16.32,91.11,9.74,Concluído
1843,462,57,Comunicação Eficaz,2024-12-05,2024-12-14,4.27,87.86,7.86,Concluído
1844,463,94,Vendas Consultivas,2022-10-24,2023-10-12,6.81,71.98,7.83,Concluído
1845,463,81,Liderança e Gestão de Pessoas,2023-04-18,2024-04-11,10.57,83.16,6.87,Concluído
1846,463,48,JavaScript Moderno,2022-12-18,2024-06-21,13.67,71.11,9.02,Concluído
1847,463,97,Python Avançado,2023-10-30,,4.32,36.76,,Cancelado
1848,463,18,Oratória,2024-01-15,2024-06-26,20.18,70.55,9.69,Concluído
1849,463,23,Oratória,2024-05-30,2024-09-23,15.6,77.12,6.11,Concluído
1850,464,58,Gestão de Projetos,2024-03-05,2024-06-09,37.8,67.81,6.11,Concluído
1851,464,67,Segurança da Informação,2024-03-15,2024-12-21,35.17,66.6,9.7,Concluído
1852,464,67,Comunicação Eficaz,2024-11-06,,4.87,13.94,,Cancelado
1853,464,72,Power BI,2024-01-14,2024-03-23,19.3,94.4,8.91,Concluído
1854,464,65,Liderança e Gestão de Pessoas,2024-09-28,2024-12-20,30.08,60.17,8.01,Concluído
1855,465,23,Cloud Computing AWS,2022-10-13,,6.22,5.18,,Cancelado
1856,465,45,Python Avançado,2022-04-25,2023-01-31,32.86,67.82,9.07,Concluído
1857,465,75,Comunicação Eficaz,2023-09-05,2024-09-13,11.62,94.61,6.63,Concluído
1858,465,12,JavaScript Moderno,2023-12-13,,12.44,15.08,,Em Andamento
1859,465,18,Gestão de Projetos,2022-05-06,2022-10-27,36.89,82.46,7.92,Concluído
1860,465,95,Design Thinking,2024-08-25,2024-10-28,39.13,84.49,7.33,Concluído
1861,465,39,Comunicação Eficaz,2024-11-26,2024-11-29,19.52,93.63,6.93,Concluído
1862,465,62,Liderança e Gestão de Pessoas,2023-11-06,2024-07-06,27.36,60.5,8.57,Concluído
1863,466,49,Python Avançado,2024-11-29,2024-12-24,16.5,65.94,8.17,Concluído
1864,466,87,Gestão de Projetos,2024-12-31,2025-01-01,39.95,66.47,9.29,Concluído
1865,466,54,Liderança e Gestão de Pessoas,2023-12-29,2024-04-03,16.89,94.4,6.56,Concluído
1866,466,38,Product Management,2022-06-02,2024-03-02,24.61,98.67,8.87,Concluído
1867,466,48,Excel Avançado,2023-09-26,,3.85,39.78,,Em Andamento
1868,466,17,Excel Avançado,2022-07-06,2023-12-01,14.65,69.92,8.88,Concluído
1869,466,67,Design Thinking,2022-04-13,2023-12-21,9.26,80.25,8.3,Concluído
1870,466,70,Data Analytics,2023-09-03,2024-06-18,29.15,87.51,9.73,Concluído
1871,467,73,Machine Learning,2023-06-27,2024-01-02,39.2,89.29,9.24,Concluído
1872,467,57,Customer Success,2024-12-11,2024-12-27,15.66,83.26,6.33,Concluído
1873,467,7,Machine Learning,2023-06-03,2023-08-28,39.46,88.19,8.97,Concluído
1874,467,15,Power BI,2024-04-21,2024-06-18,18.46,84.96,9.61,Concluído
1875,467,42,Machine Learning,2023-10-12,2024-04-03,4.4,63.47,9.01,Concluído
1876,467,85,Oratória,2024-10-19,2024-11-20,19.62,64.41,9.27,Concluído
1877,468,15,Power BI,2024-12-05,2024-12-08,17.51,65.83,7.37,Concluído
1878,468,15,Python Avançado,2024-11-30,2024-12-11,26.34,83.9,8.45,Concluído
1879,468,27,Gestão de Tempo,2024-08-26,2024-11-20,17.91,64.7,8.32,Concluído
1880,468,58,Power BI,2024-10-28,2024-11-13,19.23,63.53,7.11,Concluído
1881,469,1,Gestão de Projetos,2024-11-27,2024-12-01,29.2,93.03,9.56,Concluído
1882,469,99,DevOps e CI/CD,2023-06-17,2024-03-21,10.52,75.38,6.94,Concluído
1883,469,78,Comunicação Eficaz,2024-05-11,,7.66,59.94,,Em Andamento
1884,469,9,Negociação,2023-02-07,2024-12-08,21.54,94.35,8.66,Concluído
1885,470,6,Gestão de Tempo,2023-08-09,2024-03-02,35.41,96.12,8.32,Concluído
1886,470,37,Data Analytics,2024-01-17,2024-10-17,29.69,68.2,9.82,Concluído
1887,470,76,Gestão de Tempo,2024-01-20,2024-02-25,5.68,60.23,6.13,Concluído
1888,470,25,Customer Success,2024-05-30,2024-10-15,7.36,67.53,8.81,Concluído
1889,470,3,Agile/Scrum,2024-05-27,2024-07-10,38.54,75.39,7.56,Concluído
1890,470,3,Power BI,2023-06-04,2023-07-02,4.1,77.23,8.62,Concluído
1891,470,49,Negociação,2023-08-12,2023-09-11,20.11,77.66,8.3,Concluído
1892,471,4,Python Avançado,2024-06-12,,19.87,54.48,,Em Andamento
1893,471,46,Oratória,2024-09-13,2024-10-21,30.08,74.15,8.32,Concluído
1894,471,50,Oratória,2024-07-28,2024-10-30,7.06,89.23,9.47,Concluído
1895,471,60,Customer Success,2024-08-12,,19.36,23.02,,Em Andamento
1896,471,16,Negociação,2024-07-05,2024-10-19,31.68,80.56,8.07,Concluído
1897,473,11,Oratória,2024-11-18,2024-12-29,39.97,67.03,8.69,Concluído
1898,473,16,Gestão de Tempo,2024-04-22,2024-04-28,33.36,91.06,7.96,Concluído
